3M                                    94 MAPLEWOOD          MN5514491584  
VERIZON COMMUNICATIONS                14 NEW YORK           NY10036160900 
VF                                    230GREENSBORO         NC2740869000  
VIACOM                                224NEW YORK           NY100369650   
VISA                                  187FOSTER CITY        CA9440414200  
VISTRA ENERGY                         499IRVING             TX750394431   
VOYA FINANCIAL                        266NEW YORK           NY101696700   
W.R. BERKLEY                          354GREENWICH          CT6830 7608   
W.W. GRAINGER                         282LAKE FOREST        IL6004525000  
WALGREENS BOOTS ALLIANCE              17 DEERFIELD          IL60015300000 
WALMART                               1  BENTONVILLE        AR727162300000
WASTE MANAGEMENT                      201HOUSTON            TX7700241200  
WEC ENERGY GROUP                      368MILWAUKEE          WI532038074   
WELLCARE HEALTH PLANS                 195TAMPA              FL336347400   
WELLS FARGO                           25 SAN FRANCISCO      CA94163269100 
WESCO INTERNATIONAL                   373PITTSBURGH         PA152199000   
WESTERN & SOUTHERN FINANCIAL GROUP    483CINCINNATI         OH452022178   
WESTERN DIGITAL                       217IRVINE             CA9261272878  
WESTERN REFINING                      349EL PASO            TX799017134   
WESTERN UNION                         478ENGLEWOOD          CO8011210700  
WESTROCK                              190NORCROSS           GA3007139000  
WEYERHAEUSER                          341SEATTLE            WA9810410400  
WHIRLPOOL                             137BENTON HARBOR      MI4902293000  
WHOLE FOODS MARKET                    176AUSTIN             TX7870373515  
WILLIAMS                              367TULSA              OK741725604   
WINDSTREAM HOLDINGS                   485LITTLE ROCK        AR7221211870  
WORLD FUEL SERVICES                   103MIAMI              FL331785000   
WYNDHAM WORLDWIDE                     461PARSIPPANY         NJ7054 37800  
XCEL ENERGY                           256MINNEAPOLIS        MN5540111476  
XEROX                                 162NORWALK            CT6850 133600 
XPO LOGISTICS                         191GREENWICH          CT6831 87000  
YAHOO                                 498SUNNYVALE          CA940898500   
YUM BRANDS                            422LOUISVILLE         KY4021390000  
YUM CHINA HOLDINGS                    399PLANO              TX75024420000 
ZIMMER BIOMET HOLDINGS                352WARSAW             IN4658018500  
