3M                                    94 MAPLEWOOD          MN5514491584  
CIGNA                                 70 BLOOMFIELD         CT6002 41000  
CINCINNATI FINANCIAL                  476FAIRFIELD          OH450144754   
CISCO SYSTEMS                         60 SAN JOSE           CA9513473700  
CITIGROUP                             30 NEW YORK           NY10022219000 
CITIZENS FINANCIAL GROUP              451PROVIDENCE         RI2903 17600  
CLOROX                                453OAKLAND            CA946128000   
CMS ENERGY                            419JACKSON            MI492017750   
COCA-COLA                             64 ATLANTA            GA30313100300 
COGNIZANT TECHNOLOGY SOLUTIONS        205TEANECK            NJ7666 260200 
COLGATE-PALMOLIVE                     182NEW YORK           NY1002236700  
COMCAST                               31 PHILADELPHIA       PA19103159000 
COMMUNITY HEALTH SYSTEMS              130FRANKLIN           TN37067108000 
COMPUTER SCIENCES CORPORATION         379MCLEAN             VA2210259000  
CONAGRA FOODS                         197OMAHA              NE6810220900  
CONOCOPHILLIPS                        115HOUSTON            TX7707913300  
CONSOLIDATED EDISON                   234NEW YORK           NY1000314960  
CONSTELLATION BRANDS                  408FAIRPORT           NY144509000   
CORE-MARK HOLDING                     247SOUTH SAN FRANCISCOCA940807688   
CORNING                               298CORNING            NY1483140700  
COSTCO                                16 ISSAQUAH           WA98027172000 
CROWN HOLDINGS                        333PHILADELPHIA       PA1915423992  
CST BRANDS                            307SAN ANTONIO        TX7825912380  
CSX                                   257JACKSONVILLE       FL3220226628  
CUMMINS                               159COLUMBUS           IN4720155400  
CVS HEALTH                            7  WOONSOCKET         RI2895 204000 
D.R. HORTON                           232FORT WORTH         TX761026976   
DANA HOLDING                          447MAUMEE             OH4353724900  
DANAHER                               144WASHINGTON         DC2003762000  
DARDEN RESTAURANTS                    385ORLANDO            FL32837150942 
DAVITA HEALTHCARE PARTNERS            181DENVER             CO8020270300  
DEAN FOODS                            351DALLAS             TX7520417000  
DEERE                                 105MOLINE             IL6126556767  
DELEK US HOLDINGS                     480BRENTWOOD          TN370271326   
DELL TECHNOLOGIES                     41 ROUND ROCK         TX78682138000 
DELTA AIR LINES                       71 ATLANTA            GA3035483756  
DEVON ENERGY                          231OKLAHOMA CITY      OK731023545   
DICK'S SPORTING GOODS                 340CORAOPOLIS         PA1510827550  
DILLARD'S                             417LITTLE ROCK        AR7220130800  
DISCOVER FINANCIAL SERVICES           277RIVERWOODS         IL6001515549  
DISCOVERY COMMUNICATIONS              412SILVER SPRING      MD209107000   
DISH NETWORK                          186ENGLEWOOD          CO8011216000  
DISNEY                                52 BURBANK            CA91521195000 
DOLLAR GENERAL                        128GOODLETTSVILLE     TN37072121000 
DOLLAR TREE                           136CHESAPEAKE         VA23320116050 
DOMINION RESOURCES                    238RICHMOND           VA2321916200  
DOVER                                 392DOWNERS GROVE      IL6051529000  
DOW CHEMICAL                          62 MIDLAND            MI4867456000  
DR PEPPER SNAPPLE GROUP               416PLANO              TX7502420000  
DTE ENERGY                            272DETROIT            MI4822610000  
DUKE ENERGY                           121CHARLOTTE          NC2820228798  
DUPONT                                113WILMINGTON         DE1989846000  
EASTMAN CHEMICAL                      309KINGSPORT          TN3766014000  
EBAY                                  310SAN JOSE           CA9512512600  
ECOLAB                                211SAINT PAUL         MN5510247565  
EDISON INTERNATIONAL                  235ROSEMEAD           CA9177012390  
